id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3449022,MWI,,,PreservedSpecimen,1c0fac47-56aa-4f9d-87ac-fce7baa25978,MWI00057167,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Thomas L. Green",2005,,,,,,"Green, Thomas L.",,,,,2005,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, georeferencedBy, georeferenceSources, habitat",,,,,,1,,,,,,,USA,Illinois,DuPage,Lisle,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",57167,130,urn:uuid:1c0fac47-56aa-4f9d-87ac-fce7baa25978,https://vplants.org:443/portal/collections/individual/index.php?occid=3449022
3449839,MWI,,,PreservedSpecimen,448a511e-a3c1-4aa5-a5d5-5127ca5f3a56,MWI00050574,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Eric Ribbens",2004,,,,,,"Ribbens, Eric",,,,,2004,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters, georeferencedBy, georeferenceSources",,,,,,1,,,,,,,USA,Illinois,McDonough,Macomb,,,1,,,,,,,,,,,,,,,,,,"W IL Woody Plants",,,"2019-08-14 03:19:22",50574,130,urn:uuid:448a511e-a3c1-4aa5-a5d5-5127ca5f3a56,https://vplants.org:443/portal/collections/individual/index.php?occid=3449839
3471692,MWI,,,PreservedSpecimen,f140c822-6684-49b9-ad52-a53de836ee81,MWI00043796,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Thomas L. Green",1998,,,,,,"Green, Thomas L.",,,,,1998,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, locality",,,,,,0,,,,,,,USA,Illinois,DuPage,Lisle,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",43796,130,urn:uuid:f140c822-6684-49b9-ad52-a53de836ee81,https://vplants.org:443/portal/collections/individual/index.php?occid=3471692
9302979,USCH,MAIN,,PreservedSpecimen,5e8a369e-ff6d-11e2-9beb-001c23ce290f,USCH0036232,79398,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Hord, Allen",,,,,,,"Johnson, George",,,,,2012,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, maximumElevationInMeters, habitat",,,,,,,,,,,,,"United States",Arkansas,"Logan County",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-05-24 11:31:34",5e8a369e-ff6d-11e2-9beb-001c23ce290f,147,urn:uuid:2f0e707d-23b7-4597-893c-4ad8abe66480,https://vplants.org:443/portal/collections/individual/index.php?occid=9302979
10243043,APCR,,,PreservedSpecimen,,APCR000404,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Logan,,,,1,,,,,,,,,,,,,,,,,,,,"Diana Soteropoulos","2017-10-22 00:00:00",10243043,148,urn:uuid:3e01f838-8fb2-4ee8-b428-51f6e027cde6,https://vplants.org:443/portal/collections/individual/index.php?occid=10243043
10243044,APCR,,,PreservedSpecimen,,APCR000403,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Logan,,,,1,,,,,,,,,,,,,,,,,,,,"Diana Soteropoulos","2017-10-22 00:00:00",10243044,148,urn:uuid:8da2780a-49dd-4dbb-9dfb-f4451adb06d9,https://vplants.org:443/portal/collections/individual/index.php?occid=10243044
10243045,APCR,,,PreservedSpecimen,,APCR000405,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Logan,,,,1,,,,,,,,,,,,,,,,,,,,"Diana Soteropoulos","2017-10-22 00:00:00",10243045,148,urn:uuid:635b47c1-9826-4f57-82dd-83f52544d4f3,https://vplants.org:443/portal/collections/individual/index.php?occid=10243045
10243046,APCR,,,PreservedSpecimen,,APCR000406,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Logan,,,,1,,,,,,,,,,,,,,,,,,,,"Diana Soteropoulos","2017-10-22 00:00:00",10243046,148,urn:uuid:34b344f0-5b4b-46a2-a576-a75f2c2838ec,https://vplants.org:443/portal/collections/individual/index.php?occid=10243046
10243047,APCR,,,PreservedSpecimen,,APCR000408,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,"George P. Johnson",,,,,1991,,,,,,"About 20 plants.",,,"Plants ranging rom 2-7 m in height. Only second known location for plants since E. J. Palmer's discovery on Magazine Mtn. in Logan County in 1923.",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, habitat",,,,,,,,,,,,,"United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,,"Diana Soteropoulos","2017-10-22 00:00:00",10243047,148,urn:uuid:fe23fae1-16da-4671-9d6a-2bb7a035cf1f,https://vplants.org:443/portal/collections/individual/index.php?occid=10243047
10243048,APCR,,,PreservedSpecimen,,APCR000407,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,"George P. Johnson",,,,,,,,,,,"About 20 plants.",,,"Plants ranging rom 2-7 m in height. Only second known location for plants since E. J. Palmer's discovery on Magazine Mtn. in Logan County in 1923.",,"field values redacted: eventDate, recordNumber, locality, habitat",,,,,,,,,,,,,"United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,,"Diana Soteropoulos","2017-10-22 00:00:00",10243048,148,urn:uuid:f0d47275-837e-4f98-a228-cdfb894eea5b,https://vplants.org:443/portal/collections/individual/index.php?occid=10243048
