id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
770489,ASU,Plants,,PreservedSpecimen,7abb2cfd-6450-44e4-999d-419afd342b72,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,"Aiko Nagahisa",,"Steffi Ickert-Bond",119,2006-01-30,2006,1,30,30,,,,,,"Texas oak, Buckley's oak",,,,"Texas oak, Buckley's oak","US Texas, Oklahoma, Kansas",,,1,,,,,,,USA,Arizona,Maricopa,,"Grand Canyon University, College of Science and Math, plantings North West side of building 27.",,0,,33.51158,-112.12994,,1500,,Landrum,,"georef batch tool 2013-03-18","reviewed - high confidence",,,,,,,,,,aiko,"2018-03-08 09:18:16",157844,1,urn:uuid:7abb2cfd-6450-44e4-999d-419afd342b72,https://vplants.org:443/portal/collections/individual/index.php?occid=770489
1007233,ARIZ,,,PreservedSpecimen,urn:uuid:08a08d88-d93d-4587-89b9-d0ab563cfe12,387974,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,"Janka Vanova",2008-10-02,,,,,,"Janka Vanova",,,08-68,2008-10-02,2008,10,2,276,,"October,2,2008","Dups sent to: NA; See boxed specimen with same catalog number. Arboretum ID#11512, cultivated.; small to medium size tree, bright green foliage, large acorns. Arboretum ID: #11512","in the landscape, nest to the brick wall of the building, next to the side walk and the road.",,,,,,,"Quercus buckleyi",Fruiting,,,,,,,,,"United States",Arizona,"Pima County",,"University of Arizona campus, south side of Learning services building.",,,,,,,,,,,,,,,,,,,,,,,"2017-08-22 14:56:12",209619,2,urn:uuid:7201ae2c-782e-45c6-ae95-ace345e72f97,https://vplants.org:443/portal/collections/individual/index.php?occid=1007233
1007329,ARIZ,,,PreservedSpecimen,urn:uuid:cd125ca5-1253-493b-b78f-ea39ae733c3b,394244,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,"Janka Vanova",2008-10-08,,,,,,"Janka Vanova",,,08-195,2008-10-08,2008,10,8,282,,"October,8,2008","Dups sent to: NA, Arboretum ID#1536, cultivated; Young, small tree. Bright green foliage, leathery, shiny on the top, little lighter color on the bottom. No flowers or acorns yet. Arboretum ID: #1536","In the landscape, in the lawn. Few feet from the building, close to the sidewalk and road.",,,,,,,"Phoenix dactilifera, Pinus canariensis.",Vegetative,,,,,,,,,"United States",Arizona,"Pima County",,"University of Arizona campus, North-east of Forbes building.",,,,,,,,,,,,,,,,,,,,,,,"2017-08-22 14:56:12",292446,2,urn:uuid:bdce408f-6b72-4923-9bd1-824b4a13f02e,https://vplants.org:443/portal/collections/individual/index.php?occid=1007329
1911467,ARIZ,,,PreservedSpecimen,urn:uuid:fc4ae4ce-b77e-40dd-90e8-923048b03910,397424,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,"Janka Vanova",2010-06-30,,,,,,"Janka Vanova",,,10-67,2010-06-30,2010,6,30,181,,"June,30,2010","Dups sent to: NA. Arboretum ID#11510, cultivated; Medium size mature tree. Light green foliage, little leathery and shiny on the top.Simple leaves, alternate. Stems are cinnamon brown color. Immature fruit-acorns along the branches in small clusters. Arboretum ID: #11510","In the landscape. In the gravel. Next to the south-facing wall of the building. Next to the sidewalk and a small road.",,,,,,,,Fruiting,,,,,,,,,"United States",Arizona,"Pima County",,"University of Arizona campus arboretum. South of Learning Services Building.",,,,,,,,,,,,,,,,,,,,,,,"2017-08-22 14:56:12",299878,2,urn:uuid:03889fc1-cbfc-4147-84bd-8465257d3624,https://vplants.org:443/portal/collections/individual/index.php?occid=1911467
20947234,ASC,,,PreservedSpecimen,680cba86-4fbb-4c96-ad9f-5610cde5c007,ASC00085862,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,"Higgins, L.C.",,,26995,2005-10-19,2005,10,19,292,,,,"clayey soil, cultivated and naturalized",,,,,,,,,,,,,,,,,"United States",Utah,Washington,,"St. George, Tontiquin Park",,0,,,,,,,,,,,,825,,,,,,,en,giselak,"2020-12-16 16:13:51",,3,urn:uuid:680cba86-4fbb-4c96-ad9f-5610cde5c007,https://vplants.org:443/portal/collections/individual/index.php?occid=20947234
3149775,NMC,,,PreservedSpecimen,,72600,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,"J. Henrickson",,,15701,1977-03-12,1977,3,12,71,,,,"commonly cultivated near Kinsolving Dorms in northern Campus",,,,,,,,,,,,,,,,,"United States",Texas,Travis,,"Collected on the University of Texas campus in central Austin, Texas",,,,30.3,-97.73,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",72600,22,urn:uuid:71588711-f17f-4634-a42a-8c75ee78860d,https://vplants.org:443/portal/collections/individual/index.php?occid=3149775
27221213,CS,,,PreservedSpecimen,,195407,189634,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,"B.A. Hendricks",,,,1924-10-07,1924,10,7,281,,10/07/1924,,,,,,,,,,,,,,,1,,,,"United States",Texas,"Dallas County",,"Cedar Hill",,,,,,WGS84,,,,,,,,,,,,,,,en,,"2020-01-04 02:36:07",110121,30,urn:uuid:0bccb721-1df2-41c0-87e4-c60dd678f72f,https://vplants.org:443/portal/collections/individual/index.php?occid=27221213
6452950,NY,,,PreservedSpecimen,7bc518ad-b686-4b37-ba6a-53a17e6fa55a,40548,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,"D. E. Atha",1993,,,,,,"D. E. Atha",,,340,1993-12-06,1993,12,6,34,34,"06 Dec 1993","Received 12/5/94",,,,,,,,,,,,,,,,,sheet,"United States of America",Texas,"Hays Co.",,"Ranch Rd 32, about 3km W of intersection w/ TX RR 12",,,,29.93,-98.12,,,,,,,,,,,,,,,,en,,"2021-01-06 21:44:18",7bc518ad-b686-4b37-ba6a-53a17e6fa55a,40,urn:uuid:88b3c4f4-0d3c-45f9-931e-f31ccfc479f1,https://vplants.org:443/portal/collections/individual/index.php?occid=6452950
6505113,NY,,,PreservedSpecimen,0ac61bbc-bb50-4493-85f1-09bd41556231,02065284,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,"D. E. Atha",2013,,,,,,"D. E. Atha",,,11884,2012-06-15,2012,6,15,16,16,"15 Jun 2012",,"Shady, riparian zone with Juglans major, Ulmus crassifolia and Quercus buckleyi through dry, oak-juniper slopes on limestone",,,,,,,,,,,,,,,,sheet,"United States of America",Texas,"Travis Co.",,"8.3 air km SW of Bee Cave town center, property of Linda and Gene Lowenthal",,,,30.276839,-98.031625,,,,,GPS,,,,302,302,,,,"ca 991 ft",,en,,"2021-01-06 21:44:18",0ac61bbc-bb50-4493-85f1-09bd41556231,40,urn:uuid:0fb46567-c9fd-4c08-b036-3053055db1dd,https://vplants.org:443/portal/collections/individual/index.php?occid=6505113
15199325,NY,,,PreservedSpecimen,d94e4927-5421-41f9-96e4-4ba3c17e501c,01483505,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,"J. S. Henrickson",,,15701,1977-03-12,1977,3,12,71,71,"12 Mar 1977",,,,,,,,,,,,,,,,,,sheet,"United States of America",Texas,"Travis Co.",Austin,"on the University of Texas campus in central Austin, near Kinsolving Dorms in northern Campus",,,,30.3,-97.73,,,,,,,,,,,,,,,,en,,"2021-01-06 21:44:18",d94e4927-5421-41f9-96e4-4ba3c17e501c,40,urn:uuid:90115780-1e59-4785-b552-e9b78c42a14b,https://vplants.org:443/portal/collections/individual/index.php?occid=15199325
