tip,subgenus,section,subsection,clade,NAm,code,sp,drop
Quercus_kelloggii_|_HIPP_|_CA-MH69_|_USA_|_California_|_OAK-MOR-476,subg. Quercus,Lobatae,Agrifoliae,,TRUE,OAK-MOR-476,Quercus_kelloggii,FALSE
Quercus_agrifolia_|_MANOS_|_PM-311_|_US_|_CA_|_PM-311,subg. Quercus,Lobatae,Agrifoliae,,TRUE,PM-311,Quercus_agrifolia,FALSE
Quercus_agrifolia_var._oxyadenia_|_HIPP_|_CA-DAV-MH55_|_USA_|_California_|_OAK-MOR-127,subg. Quercus,Lobatae,Agrifoliae,,TRUE,OAK-MOR-127,Quercus_agrifolia_var._oxyadenia,FALSE
Quercus_parvula_var._shrevei_|_MANOS_|_PM-306_|_US_|_CA_|_PM-306,subg. Quercus,Lobatae,Agrifoliae,,TRUE,PM-306,Quercus_parvula_var._shrevei,FALSE
Quercus_parvula_var._tamalpaiensis_|_MANOS_|_PM-318_|_US_|_CA_|_PM-318,subg. Quercus,Lobatae,Agrifoliae,,TRUE,PM-318,Quercus_parvula_var._tamalpaiensis,FALSE
Quercus_wislizeni_|_HIPP_|_Aram-s.n.-D_|_USA_|_California_|_OAK-MOR-516,subg. Quercus,Lobatae,Agrifoliae,,TRUE,OAK-MOR-516,Quercus_wislizeni,FALSE
Quercus_texana_|_HIPP_|_IL-SH-28_|_USA_|_Illinois_|_OAK-MOR-500,subg. Quercus,Lobatae,Palustres,,TRUE,OAK-MOR-500,Quercus_texana,FALSE
Quercus_palustris_|_HIPP_|_IL-MOR-MH004__|_USA_|_Illinois_|_OAK-MOR-358,subg. Quercus,Lobatae,Palustres,,TRUE,OAK-MOR-358,Quercus_palustris,FALSE
Quercus_ilicifolia_|_MANOS_|_PM-80_|_USA_|_New_York_|_PM-80b,subg. Quercus,Lobatae,Phellos,,TRUE,PM-80b,Quercus_ilicifolia,FALSE
Quercus_georgiana_|_HIPP_|_IL-MOR-MH221_|_U.S.A._|_IL_|_OAK-MOR-686,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-686,Quercus_georgiana,FALSE
Quercus_imbricaria_|_HIPP_|_IL-MOR-MH088__|_USA_|_Illinois_|_OAK-MOR-391,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-391,Quercus_imbricaria,FALSE
Quercus_pagoda_|_HIPP_|_IL-MOR-MH002_-A/B-_|_USA_|_Illinois_|_OAK-MOR-354,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-354,Quercus_pagoda,FALSE
Quercus_elliottii_|_CAVENDER-BARES_|_JCB-US-FL-SF-ET-2_|_USA_|_Florida_|_OAK-UMN-015,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-UMN-015,Quercus_elliottii,FALSE
Quercus_phellos_|_HIPP_|_IL-SH-156_|_USA_|_Illinois_|_OAK-MOR-461,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-461,Quercus_phellos,FALSE
